,prov,total.rev,ratio,total.exp,balance.trans,target.trans,project.trans,net.trans,year
3,Quang Ninh,4371000,98,1961287,294406,294406,127490,2409713,2006
4,Ha Giang,204000,100,755768.814,1298373.173,651604.359,231100,-551768.814,2006
5,Tuyen Quang,216000,100,729330.5853,844727.7162,339247.1309,75700,-513330.5853,2006
6,Cao Bang,223500,100,676574.7829,1108770.597,550291.8142,224180,-453074.7829,2006
7,Lang Son,875000,100,738675.8221,997103.7338,508374.9118,174900,136324.1779,2006
8,Lao Cai,605000,100,782194,1143882.823,654455.8227,258885,-177194,2006
9,Yen Bai,249000,100,772305.7176,1052941.917,532391.1998,132700,-523305.7176,2006
10,Thai Nguyen,522000,100,963995.7989,891692.2526,440796.4538,135100,-441995.7989,2006
11,Bac Kan,73500,100,466682.7088,819788.8882,426126.1793,178150,-393182.7088,2006
12,Phu Tho,640000,100,1140234.78,1174670.725,664655.9445,279400,-500234.7803,2006
13,Bac Giang,430200,100,1197792.949,1223819.687,478066.7379,134000,-767592.9492,2006
15,Hoa Binh,268400,100,848043.6349,1175121.598,595347.9632,155200,-579643.6349,2006
16,Son La,273300,100,1035474.359,1421148.597,661899.2389,188250,-762174.3585,2006
17,Dien Bien,99850,100,517616,886793.8765,475947.8765,202200,-417766,2006
18,Lai Chau,45000,100,338169,993830.1796,703621.1796,326300,-293169,2006
20,Ha Noi,34075000,32,7927880,473125,473125,7495,26147120,2006
21,Hai Phong,9752000,95,2771875,464042,464042,162640,6980125,2006
22,Vinh Phuc,4027000,86,2893742,103817,103817,27200,1133258,2006
23,Hai Duong,2550900,100,2089285.181,495837.1813,165142,43100,461614.8187,2006
24,Hung Yen,1385400,100,1012159.157,489602.2432,133023.0862,21700,373240.843,2006
25,Bac Ninh,907300,100,971930.735,314412.4845,142491.7496,20000,-64630.73496,2006
26,Ha Tay,1858000,100,2079394.374,965111.2184,388632.8448,174100,-221394.3736,2006
27,Ha Nam,336000,100,630663.2404,630104.8997,331551.6593,195800,-294663.2404,2006
28,Nam Dinh,565400,100,1227560.104,1140569.854,468189.7502,167000,-662160.1037,2006
29,Ninh Binh,614000,100,941909.4027,823264.5015,427555.0988,264500,-327909.4027,2006
30,Thai Binh,1145000,100,1269615.201,1038677.356,337652.1555,110750,-124615.201,2006
32,Thanh Hoa,1380000,100,2688373.925,2446302.267,1148178.342,366500,-1308373.925,2006
33,Nghe An,1667000,100,2501859.227,2163266.505,924427.278,263100,-834859.2271,2006
34,Ha Tinh,479420,100,1112327.423,1356467.783,675890.3602,259480,-632907.4232,2006
35,Quang Binh,450000,100,823721.4736,929152.9505,522331.477,187500,-373721.4736,2006
36,Quang Tri,334000,100,637787.1161,983771.8722,614094.7561,260500,-303787.1161,2006
37,Thua Thien - Hue,1045000,100,1255713.572,678337.5723,464174,171198,-210713.5723,2006
39,Da Nang,4240000,95,2948890,245331,245331,60800,1291110,2006
40,Khanh Hoa,3380000,52,1719397,164124,164124,73870,1660603,2006
41,Quang Nam,1070000,100,1270528.016,1364211.895,678393.8789,253177,-200528.0163,2006
42,Quang Ngai,559000,100,1110346.643,1066394.751,545548.1079,228600,-551346.6434,2006
43,Binh Dinh,1195000,100,1394531.096,729633.9342,398379.838,167740,-199531.0962,2006
44,Phu Yen,438500,100,645678.5465,609073.1904,396134.644,183650,-207178.5465,2006
45,Ninh Thuan,267300,100,498907.4064,629785.618,403178.2115,180121,-231607.4064,2006
46,Binh Thuan,3033700,100,1258908.125,655061.7268,333373.6016,176220,1774791.875,2006
48,Dak Lak,1012000,100,1736012,1202554,502237,246600,-724012,2006
49,Dak Nong,170800,100,525073,917539.0376,577976.0376,309300,-354273,2006
50,Gia Lai,810750,100,1396060.094,984103.0942,434227,222100,-585310.0942,2006
51,Kon Tum,306750,100,669237.1212,926055.9046,553728.7834,241000,-362487.1212,2006
52,Lam Dong,1197200,100,1619190.935,830302.935,431682,210700,-421990.935,2006
54,Ho Chi Minh City,67254000,29,14144014,675800,675800,148600,53109986,2006
55,Dong Nai,8782000,49,3352762,51625,51625,11300,5429238,2006
56,Binh Duong,5794000,44,1982044,52834,52834,18400,3811956,2006
57,Tay Ninh,1141500,99,1019400,326658,326658,240700,122100,2006
58,Ba Ria - Vung Tau,65030000,42,3470076,152946,152946,61058,61559924,2006
59,Binh Phuoc,863500,100,1215371.644,541280.6437,242659,108700,-351871.6437,2006
61,Long An,1282900,99,1241827,402070.275,402070.275,264700,41073,2006
62,Tien Giang,1260500,99,1281470,335881.7753,335881.7753,227000,-20970,2006
63,Vinh Long,918900,99,896976,361669.2845,361669.2845,267500,21924,2006
64,Can Tho,2093000,50,1176285,360437,360437,289260,916715,2006
65,Hau Giang,3.00E+05,100,645363,699173.0254,382855.0254,206700,-345363,2006
66,Ben Tre,668000,100,903906.8845,489823.807,254166.9225,101500,-235906.8845,2006
67,Tra Vinh,397000,100,759939.5204,676867.2587,317957.7383,164100,-362939.5204,2006
68,Soc Trang,666500,100,1005306.646,668005.5772,348968.9314,202900,-338806.6457,2006
69,An Giang,1615600,100,1763899.196,515279.1957,312670,146400,-148299.1957,2006
70,Dong Thap,1224000,100,1492949.74,655940.9935,310891.2538,144300,-268949.7397,2006
71,Kien Giang,1198200,100,1355194.673,654390.2258,444470.5531,203700,-156994.6727,2006
72,Bac Lieu,672900,100,848015.8624,372608.8624,225543,127624,-175115.8624,2006
73,Ca Mau,889500,100,1097245.823,470472.9687,261847.1457,148500,-207745.823,2006
310,Ha Giang,169300,100,1389380,1833346,570766,349460,-1220080,2007
410,Tuyen Quang,265000,100,1131056,1122350,256294,125349,-866056,2007
510,Cao Bang,217700,100,1067616,1423243,509027,318805,-849916,2007
610,Lang Son,1097500,100,1346256,1378985,374129,202485,-248756,2007
710,Lao Cai,634500,100,1170645,1464386,601691,429455,-536145,2007
81,Yen Bai,275500,100,1176880,1326049,421519,260455,-901380,2007
91,Thai Nguyen,639500,100,1439586,1234498,384912,238583,-800086,2007
101,Bac Kan,87800,100,682780,971351,376371,230748,-594980,2007
111,Phu Tho,761500,100,1661658,1666821,721663,515705,-900158,2007
121,Bac Giang,526800,100,1819106,1748998,456692,331665,-1292306,2007
131,Hoa Binh,305300,100,1297599,1546292,551483,345855,-992299,2007
14,Son La,337500,100,1682297,1850430,505113,315565,-1344797,2007
151,Lai Chau,77000,100,888408,1407289,593681,402161,-811408,2007
161,Dien Bien,123850,100,981524,1227502,369328,220826,-857674,2007
181,Ha Noi,44043000,31,8834246,695697,695697,634120,35208754,2007
19,Hai Phong,12608000,90,2835687,665347,665347,596120,9772313,2007
201,Quang Ninh,7256000,76,2441278,292368,292368,189464,4814722,2007
211,Hai Duong,2501000,100,2063548,257866,179798,88515,437452,2007
221,Hung Yen,1264800,100,1222103,621708,154405,88501,42697,2007
231,Vinh Phuc,4734500,67,2522210,95869,95869,42925,2212290,2007
241,Bac Ninh,1202000,100,1381069,432880,139691,78260,-179069,2007
251,Ha Tay,2111050,100,3024427,1387757,305930,214020,-913377,2007
261,Ha Nam,428600,100,836033,744265,317332,249220,-407433,2007
271,Nam Dinh,707000,100,1902293,1628166,393203,305920,-1195293,2007
281,Ninh Binh,725700,100,1213026,1116928,528602,453065,-487326,2007
