"","x"
"1","An Giang"
"2","AN GIANG"
"3","Bắc Cạn"
"4","BẮC CẠN"
"5","Bắc Giang"
"6"," BẮC GIANG"
"7","BẮC GIANG"
"8","Bắc Kạn"
"9"," BẮC KẠN"
"10","BẮC KẠN"
"11","Bạc Liêu"
"12"," BẠC LIÊU"
"13","BẠC LIÊU"
"14","Bắc Ninh"
"15"," BẮC NINH"
"16","BẮC NINH"
"17","Bà Rịa - Vũng Tàu"
"18"," BÀ RỊA - VŨNG TÀU"
"19","BÀ RỊA - VŨNG TÀU"
"20","Bến Tre"
"21"," BẾN TRE"
"22","BẾN TRE"
"23","Bình Định"
"24"," BÌNH ĐỊNH"
"25","BÌNH ĐỊNH"
"26","Bình Dương"
"27"," BÌNH DƯƠNG"
"28","BÌNH DƯƠNG"
"29","Bình Phước"
"30"," BÌNH PHƯỚC"
"31","BÌNH PHƯỚC"
"32","Bình Thuận"
"33"," BÌNH THUẬN"
"34","BÌNH THUẬN"
"35","Cà Mau"
"36"," CÀ MAU"
"37","CÀ MAU"
"38","Cần Thơ"
"39"," CẦN THƠ"
"40","CẦN THƠ"
"41","Cao Bằng"
"42"," CAO BẰNG"
"43","CAO BẰNG"
"44","ĐẮC NÔNG"
"45","Đắk Lắk"
"46"," ĐẮK LẮK"
"47","ĐẮK LẮK"
"48","ĐĂK LĂK"
"49","Đắk Nông"
"50"," ĐẮK NÔNG"
"51","ĐẮK NÔNG"
"52","Đà Nẵng"
"53"," ĐÀ NẴNG"
"54","ĐÀ NẴNG"
"55","Điện Biên"
"56","ĐIỆN BIÊN"
"57","Đồng Nai"
"58"," ĐỒNG NAI"
"59","ĐỒNG NAI"
"60","Đồng Tháp"
"61"," ĐỒNG THÁP"
"62","ĐỒNG THÁP"
"63","Gia Lai"
"64","GIA LAI"
"65","Hà Giang"
"66"," HÀ GIANG"
"67","HÀ GIANG"
"68","Hải Dương"
"69"," HẢI DƯƠNG"
"70","HẢI DƯƠNG"
"71","Hải Phòng"
"72"," HẢI PHÒNG"
"73","HẢI PHÒNG"
"74","Hà Nam"
"75"," HÀ NAM"
"76","HÀ NAM"
"77","Hà Nội"
"78"," HÀ NỘI"
"79","HÀ NỘI"
"80","HÀ TÂY"
"81","Hà Tĩnh"
"82"," HÀ TĨNH"
"83","HÀ TĨNH"
"84","Hậu Giang"
"85","HẬU GIANG"
"86","HÀ NAM"
"87","Hòa Bình"
"88"," HÒA BÌNH"
"89","HÒA BÌNH"
"90","Hồ Chí Minh"
"91","HỒ CHÍ MINH"
"92","Hưng Yên"
"93"," HƯNG YÊN"
"94","HƯNG YÊN"
"95","Khánh Hòa"
"96"," KHÁNH HÒA"
"97","KHÁNH HÒA"
"98","Kiên Giang"
"99"," KIÊN GIANG"
"100","KIÊN GIANG"
"101","Kon Tum"
"102","KON TUM"
"103","Lai Châu"
"104"," LAI CHÂU"
"105","LAI CHÂU"
"106","Lâm Đồng"
"107"," LÂM ĐỒNG"
"108","LÂM ĐỒNG"
"109","Lạng Sơn"
"110"," LẠNG SƠN"
"111","LẠNG SƠN"
"112","Lao Cai"
"113","LAO CAI"
"114","Lào Cai"
"115","LàO CAI"
"116"," LÀO CAI"
