Year,Type,Sheet,Begin Row,End Row,Province,Entry Costs,Land Access and Security of Tenure,Transparency and Access to Information,Time Costs and Regulatory Compliance,Informal Charges,Implementation and Consistency of Policies,Policy Bias,Proactivity of Provincial Leadership,Business Support Services,Labor and Training,Legal Institutions,Unweighted Col,Weighted Col
2005,xls,2,3,44,1,6,7,8,9,10,11,12,13,14,,,,15
2006,xls,2,3,66,2,3,4,5,6,7,,8,9,10,11,12,,13
2007,xls,2,2,65,1,5,6,7,8,9,,10,11,12,13,14,15,16
2008,xls,1,3,66,0,3,5,7,9,11,,13,15,17,19,21,23,25
2009,xls,1,4,66,3,4,5,6,7,8,,,9,10,11,12,,13
2010,xls,1,2,64,0,3,5,7,9,11,,,13,15,17,19,21,23
2011,xls,1,2,64,0,3,5,7,9,11,,,13,15,17,19,,21
2012,xlsx,1,2,64,0,3,5,7,9,11,,,13,15,17,19,,21
2013,xlsx,1,2,64,0,3,5,7,9,11,,13,15,17,19,21,,23
2014,xlsx,1,2,64,0,3,5,7,9,11,,13,15,17,19,21,,23
2015,xlsx,1,2,64,0,3,5,7,9,11,,13,15,17,19,21,,23
2016,xlsx,1,2,64,0,3,5,7,9,11,,13,15,17,19,21,,23
